類・品目,,生鮮食品を除く総合,前年比,対数季節階差
Group/Item,,"All items, less fresh food",,
類・品目符号(Group/Item code),,161,,
含類総連番(Serial number),,737,,
ウエイト(Weight),,3009367190,,
ウエイト１万分比(Weight per 10000),,9586,,
197001,,31,,
197002,,31,,
197003,,31.1,,
197004,,31.4,,
197005,,31.5,,
197006,,31.5,,
197007,,31.7,,
197008,,31.7,,
197009,,32,,
197010,,32.4,,
197011,,32.5,,
197012,,32.8,,
197101,,32.9,6.12903225806451,5.948545328618
197102,,32.9,6.12903225806451,5.948545328618
197103,,33.1,6.43086816720257,6.23254631978288
197104,,33.5,6.68789808917198,6.47375459168132
197105,,33.7,6.98412698412699,6.75102915267288
197106,,34,7.93650793650794,7.6372978784574
197107,,34,7.25552050473186,7.00438437329265
197108,,34,7.25552050473186,7.00438437329265
197109,,34.3,7.18749999999999,6.94094513721676
197110,,34.4,6.17283950617284,5.9898141581069
197111,,34.5,6.15384615384615,5.97192347016223
197112,,34.6,5.48780487804879,5.34251666735806
197201,,34.7,5.4711246200608,5.32670291814875
197202,,34.8,5.77507598784194,5.61447290091025
197203,,34.9,5.43806646525679,5.29535468253643
197204,,35.3,5.3731343283582,5.23375251082302
197205,,35.4,5.04451038575666,4.92139827814126
197206,,35.6,4.70588235294118,4.59851132418234
197207,,35.7,5.00000000000001,4.87901641694321
197208,,35.8,5.29411764705882,5.15873687904931
197209,,35.9,4.66472303206998,4.5591941322339
197210,,36.3,5.52325581395349,5.37611768914523
197211,,36.5,5.79710144927536,5.63529365511318
197212,,36.7,6.06936416184972,5.8923072996846
197301,,36.9,6.3400576368876,6.14718640936678
197302,,37.3,7.18390804597701,6.93759398693413
197303,,37.9,8.59598853868195,8.24642828799992
197304,,38.5,9.06515580736545,8.67752773544875
197305,,39.1,10.45197740113,9.94106468515914
197306,,39.5,10.9550561797753,10.3955034049091
197307,,39.8,11.484593837535,10.8716223504798
197308,,39.9,11.4525139664805,10.8428430489163
197309,,40.7,13.3704735376045,12.5490796954316
197310,,41.2,13.4986225895317,12.6620515084676
197311,,41.9,14.7945205479452,13.7973566339646
197312,,43.2,17.7111716621253,16.306374018954
197401,,44.6,20.8672086720867,18.9522307979537
197402,,45.8,22.7882037533512,20.5290764470369
197403,,46.2,21.8997361477573,19.8028685999313
197404,,47,22.0779220779221,19.948936041632
197405,,47.8,22.2506393861892,20.090317250609
197406,,48.3,22.2784810126582,20.1130888751451
197407,,48.9,22.8643216080402,20.5910484190434
197408,,49.2,23.3082706766917,20.9517299602445
197409,,49.8,22.3587223587223,20.1786891582058
197410,,51.4,24.757281553398,22.1199916105639
197411,,52,24.1050119331742,21.5957891653335
197412,,52.3,21.0648148148148,19.1155875820812
197501,,52.6,17.9372197309417,16.4982260717646
197502,,52.7,15.0655021834061,14.0331364427177
197503,,52.9,14.5021645021645,13.542354077656
197504,,53.9,14.6808510638298,13.6982876204893
197505,,54.1,13.1799163179916,12.3808546355026
197506,,54.4,12.6293995859213,11.893259320337
197507,,54.7,11.8609406952965,11.2086312947109
197508,,54.5,10.7723577235772,10.2307078170936
197509,,55.4,11.2449799196787,10.6564609722631
197510,,55.8,8.56031128404669,8.21356969261458
197511,,56,7.69230769230769,7.41079721537218
197512,,56.2,7.45697896749523,7.19203858287682
197601,,56.8,7.98479087452471,7.68202059834414
197602,,57.1,8.34914611005692,8.01886611146479
197603,,57.4,8.50661625708885,8.1640964461267
197604,,58.5,8.53432282003711,8.18962763228593
197605,,58.9,8.8724584103512,8.50069048051052
197606,,59.2,8.82352941176471,8.45573880280632
197607,,59.6,8.95795246800731,8.57918646433685
197608,,59.5,9.17431192660551,8.77756108823856
197609,,60.5,9.2057761732852,8.80637712835576
197610,,60.8,8.96057347670251,8.58159195848561
197611,,61.2,9.28571428571429,8.87954987831313
197612,,62.1,10.4982206405694,9.98292320397877
197701,,62.1,9.33098591549297,8.92096632123276
197702,,62.2,8.93169877408056,8.55508830831692
197703,,62.5,8.88501742160279,8.51222534168351
197704,,63.5,8.54700854700855,8.20131516608351
197705,,64.1,8.82852292020373,8.46032732690833
197706,,64.3,8.61486486486485,8.26380893536135
197707,,64.5,8.22147651006711,7.90096497304226
197708,,64.3,8.0672268907563,7.75833186919896
197709,,65,7.43801652892562,7.17439048588413
197710,,65.4,7.56578947368423,7.29324694910318
197711,,65.5,7.02614379084967,6.79029531229258
197712,,65.6,5.63607085346215,5.48297070106101
197801,,65.5,5.47504025764895,5.33041537017732
197802,,65.7,5.62700964630225,5.47439257454311
197803,,66,5.6,5.44881852840698
197804,,66.6,4.88188976377952,4.76646716476975
197805,,67.1,4.6801872074883,4.57396800510118
197806,,67.1,4.35458786936236,4.26244127340624
197807,,67.3,4.34108527131783,4.24950128489553
197808,,67,4.199066874028,4.11329881473924
197809,,67.5,3.84615384615385,3.77403279828471
197810,,67.6,3.36391437308867,3.30857245857653
197811,,67.7,3.3587786259542,3.3036037277023
197812,,67.9,3.50609756097563,3.44603386146072
197901,,67.7,3.3587786259542,3.3036037277023
197902,,67.6,2.89193302891932,2.85090575583535
197903,,67.9,2.87878787878789,2.83812925382249
197904,,68.6,3.003003003003,2.95879571854961
197905,,69.1,2.9806259314456,2.93706867959882
197906,,69.6,3.72578241430701,3.65805233627379
197907,,69.7,3.56612184249629,3.50400811157962
197908,,69.4,3.58208955223881,3.51942481217929
197909,,70.2,4,3.92207131532813
197910,,70.6,4.43786982248521,4.34221614502779
197911,,70.8,4.57902511078286,4.47728207814446
197912,,71.2,4.860088365243,4.74567838532797
198001,,71.3,5.3175775480059,5.18101475020209
198002,,71.6,5.91715976331361,5.74870909176816
198003,,72.2,6.33284241531664,6.14040113341301
198004,,73.9,7.72594752186591,7.44202932223167
198005,,74.9,8.39363241678728,8.05991597495497
198006,,75.3,8.1896551724138,7.87155674654739
198007,,75.5,8.32137733142037,7.99323384885009
198008,,75.1,8.21325648414984,7.893369125733
198009,,75.9,8.11965811965812,7.80683733698187
198010,,76.3,8.07365439093485,7.76427937912151
198011,,76.6,8.19209039548022,7.87380760468714
198012,,76.6,7.58426966292134,7.31042583286155
198101,,76.7,7.57363253856943,7.30053809529604
198102,,76.5,6.84357541899442,6.61956668658904
198103,,76.7,6.23268698060942,6.04616624744299
198104,,77.3,4.60081190798375,4.49811276392202
198105,,78.2,4.40587449933244,4.31157570280915
198106,,78.5,4.24966799468792,4.16184899825148
198107,,78.4,3.84105960264901,3.76912711013833
198108,,78.2,4.1278295605859,4.04490887811765
198109,,79.1,4.21607378129116,4.12961903720239
198110,,79.4,4.06290956749673,3.98254299626788
198111,,79.6,3.91644908616188,3.84170161037918
198112,,79.7,4.04699738903395,3.96725090496239
198201,,79.4,3.52020860495437,3.45966598798795
198202,,79.3,3.66013071895424,3.5947387808312
198203,,79.4,3.52020860495437,3.45966598798795
198204,,79.9,3.36351875808539,3.30818971788527
198205,,80.6,3.06905370843989,3.02290019613171
198206,,80.8,2.92993630573248,2.88783407386869
198207,,80.7,2.93367346938775,2.89146479195409
198208,,80.5,2.94117647058823,2.89875368732522
198209,,81.3,2.78128950695323,2.74331417801567
198210,,81.7,2.89672544080604,2.85556336128671
198211,,81.7,2.63819095477388,2.60399090156201
198212,,81.8,2.63488080301129,2.6007657812532
198301,,81.4,2.51889168765743,2.48769047554045
198302,,81,2.1437578814628,2.12110260316364
198303,,81.2,2.26700251889168,2.24168789145423
198304,,81.6,2.12765957446807,2.10534091978323
198305,,82.2,1.98511166253103,1.96566525495518
198306,,82.2,1.73267326732674,1.71783365350846
198307,,82.1,1.73482032218091,1.71994411824793
198308,,81.5,1.24223602484472,1.23458358222994
198309,,82.5,1.47601476014761,1.46522767868704
198310,,82.9,1.46878824969401,1.45810602752922
198311,,83.1,1.71358629130966,1.69906999954453
198312,,83.1,1.58924205378973,1.5767458252701
198401,,82.8,1.71990171990171,1.70527883827193
198402,,82.7,2.09876543209877,2.07704473572069
198403,,82.8,1.97044334975369,1.95128142235817
198404,,83.2,1.9607843137255,1.94180858571017
198405,,84.1,2.31143552311434,2.28512649167681
198406,,84,2.18978102189781,2.16614967811793
198407,,83.9,2.19244823386116,2.16875970147781
198408,,83.4,2.33128834355829,2.30452891178841
198409,,84.4,2.30303030303031,2.27691082612763
198410,,84.9,2.41254523522316,2.38390311760524
198411,,85,2.2864019253911,2.26065546289141
198412,,85,2.2864019253911,2.26065546289141
198501,,84.8,2.41545893719807,2.38674814066435
198502,,84.6,2.2974607013301,2.27146645825319
198503,,84.8,2.41545893719807,2.38674814066435
198504,,85.3,2.52403846153845,2.49271066704705
198505,,85.6,1.78359096313912,1.7678716168794
198506,,85.7,2.02380952380953,2.00360267604204
198507,,85.6,2.02622169249105,2.00596696745358
198508,,85.4,2.39808153477218,2.36977914298232
198509,,85.8,1.65876777251184,1.64516048920051
198510,,86,1.29564193168433,1.2873202936206
198511,,86.1,1.29411764705882,1.28581549433687
198512,,86.2,1.41176470588236,1.4018921179331
198601,,86,1.41509433962265,1.40517534556503
198602,,85.9,1.53664302600474,1.52495623780322
198603,,86,1.41509433962265,1.40517534556503
198604,,86.4,1.28956623681126,1.28132213123766
198605,,86.7,1.28504672897197,1.27686006388
198606,,86.4,0.816802800466748,0.813485020627581
198607,,86.1,0.58411214953271,0.582412828598871
198608,,85.9,0.585480093676815,0.58377281956854
198609,,86.2,0.466200466200473,0.465117117573088
198610,,86.4,0.465116279069774,0.46403795565023
198611,,86.3,0.232288037166089,0.232018665569713
198612,,86.3,0.116009280742453,0.115942041973472
198701,,85.8,-0.232558139534887,-0.232828975959118
198702,,85.9,0,0
198703,,86,0,0
198704,,86.5,0.115740740740734,0.115673812782373
198705,,86.5,-0.23068050749712,-0.230946984866253
198706,,86.6,0.231481481481468,0.231213975837938
198707,,86.5,0.464576074332179,0.463500250414848
198708,,86.4,0.582072176949942,0.580384681980027
198709,,86.6,0.464037122969828,0.462963789874198
198710,,86.8,0.462962962962953,0.461894585629446
198711,,86.8,0.579374275782155,0.57770235769223
198712,,86.8,0.579374275782155,0.57770235769223
198801,,86.4,0.699300699300709,0.696866931609344
198802,,86.3,0.465657741559944,0.464576909917237
198803,,86.4,0.465116279069774,0.46403795565023
198804,,86.7,0.231213872832373,0.230946984866264
198805,,86.9,0.462427745664747,0.461361833351271
198806,,86.9,0.346420323325648,0.345821670295711
198807,,86.7,0.231213872832373,0.230946984866264
198808,,86.6,0.231481481481468,0.231213975837938
198809,,87,0.461893764434187,0.46083030861944
198810,,87.2,0.460829493087564,0.459770924862955
198811,,87.3,0.576036866359447,0.574384117925209
198812,,87.4,0.691244239631346,0.688866099518532
198901,,87.1,0.810185185185172,0.806920804844696
198902,,87.1,0.926998841251445,0.922728576907484
198903,,87.3,1.04166666666666,1.03627870355464
198904,,88.9,2.53748558246828,2.50582587333628
198905,,89.3,2.76179516685845,2.72434556111068
198906,,89.4,2.87686996547756,2.83626499081221
198907,,89.3,2.99884659746251,2.95476040959571
198908,,89.1,2.88683602771363,2.84595189083741
198909,,89.5,2.8735632183908,2.8330506626226
198910,,89.8,2.98165137614678,2.938064439322
198911,,89.9,2.9782359679267,2.93474786320182
198912,,90,2.97482837528603,2.93143876687753
199001,,89.9,3.2146957520092,3.16410576191175
199002,,89.8,3.09988518943743,3.05280914496968
199003,,90.2,3.32187857961055,3.26789642230216
199004,,90.8,2.13723284589425,2.11471430873885
199005,,91.2,2.12765957446809,2.10534091978325
199006,,91.2,2.01342281879194,1.99342149008171
199007,,91.2,2.12765957446809,2.10534091978325
199008,,91.2,2.35690235690237,2.32955626035221
199009,,91.8,2.56983240223463,2.5373672345635
199010,,92.3,2.78396436525613,2.74591662006525
199011,,92.7,3.11457174638487,3.06705310942349
199012,,92.9,3.22222222222223,3.17139754895279
199101,,92.8,3.22580645161289,3.17486983145803
199102,,92.6,3.11804008908686,3.07041663439797
199103,,93,3.10421286031042,3.05700660846779
199104,,93.5,2.97356828193833,2.93021506873938
199105,,93.9,2.96052631578948,2.91754891339315
199106,,94,3.07017543859649,3.02398851897182
199107,,94,3.07017543859649,3.02398851897182
199108,,93.9,2.96052631578948,2.91754891339315
199109,,94.3,2.72331154684096,2.6868892012967
199110,,94.6,2.49187432286024,2.46133345490262
199111,,94.8,2.26537216828478,2.24009366891665
199112,,95,2.2604951560818,2.23532457807479
199201,,94.7,2.04741379310345,2.02673603998777
199202,,94.7,2.26781857451405,2.2424858539899
199203,,95.1,2.25806451612903,2.23294763980886
199204,,95.9,2.5668449197861,2.53445455947512
199205,,96.3,2.55591054313098,2.52379325898625
199206,,96.4,2.55319148936171,2.52114193464961
199207,,96.1,2.23404255319148,2.20945337062429
199208,,96,2.23642172523961,2.2117805253619
199209,,96.4,2.2269353128314,2.20250119770882
199210,,96.6,2.11416490486258,2.09212651606397
199211,,96.8,2.10970464135021,2.08775850215552
199212,,96.9,2.00000000000001,1.98026272961797
199301,,96.4,1.79514255543823,1.77922014244673
199302,,96.4,1.79514255543823,1.77922014244673
199303,,96.6,1.57728706624606,1.56497716671276
199304,,97.3,1.45985401459853,1.44930073025668
199305,,97.4,1.1422637590862,1.13578918444096
199306,,97.5,1.14107883817427,1.13461763873015
199307,,97.3,1.24869927159209,1.24096732157127
199308,,97.2,1.25,1.24225199985571
199309,,97.5,1.14107883817427,1.13461763873015
199310,,97.7,1.13871635610767,1.13228178302649
199311,,97.7,0.929752066115708,0.925456476620589
199312,,97.6,0.722394220846221,0.719797452232604
199401,,97.3,0.933609958506215,0.929278757545942
199402,,97.2,0.829875518672196,0.826450984989343
199403,,97.5,0.931677018633546,0.927363678532925
199404,,98.2,0.924974306269276,0.92072261684609
199405,,98.5,1.12936344969199,1.12303375295538
199406,,98.4,0.923076923076929,0.918842605440639
199407,,98,0.719424460431658,0.71684894786125
199408,,97.9,0.720164609053501,0.717583807007141
199409,,98.1,0.61538461538461,0.613498856751593
199410,,98.2,0.511770726714432,0.510465631168305
199411,,98.2,0.511770726714432,0.510465631168305
199412,,98.1,0.512295081967213,0.510987315227064
199501,,97.8,0.513874614594039,0.512558784881234
199502,,97.6,0.411522633744847,0.410678195265328
199503,,97.8,0.307692307692305,0.307219903697006
199504,,98.1,-0.101832993890029,-0.101884878910288
199505,,98.2,-0.304568527918779,-0.305033281762298
199506,,98.1,-0.304878048780499,-0.305343748689045
199507,,97.8,-0.204081632653064,-0.204290162980029
199508,,97.7,-0.204290091930544,-0.204499048772771
199509,,98.2,0.101936799184514,0.101884878910285
199510,,98.3,0.101832993890015,0.101781179270062
199511,,98.2,0,0
199512,,98.2,0.101936799184514,0.101884878910285
199601,,97.6,-0.204498977505115,-0.204708362172491
199602,,97.6,0,0
199603,,97.8,0,0
199604,,98.2,0.101936799184514,0.101884878910285
199605,,98.3,0.101832993890015,0.101781179270062
199606,,98.3,0.203873598369014,0.203666058180356
199607,,98.1,0.306748466257666,0.306278953054573
199608,,97.9,0.204708290685776,0.204499048772765
199609,,98.4,0.203665987780044,0.203458869778746
199610,,98.5,0.203458799593085,0.203252102492243
199611,,98.6,0.407331975560073,0.406504624816937
199612,,98.5,0.305498981670058,0.305033281762288
199701,,98.1,0.512295081967213,0.510987315227064
199702,,98,0.409836065573776,0.408998525152507
199703,,98.3,0.511247443762781,0.509945011234926
199704,,100.2,2.03665987780041,2.01619732903443
199705,,100.3,2.03458799593082,2.01416678147689
199706,,100.3,2.03458799593082,2.01416678147689
199707,,100.1,2.03873598369011,2.01823197498575
199708,,100,2.14504596527068,2.12236364516266
199709,,100.7,2.33739837398374,2.31049956663089
199710,,100.8,2.33502538071066,2.30818074592251
199711,,100.7,2.12981744421908,2.10745381159269
199712,,100.6,2.13197969543147,2.10957094875955
199801,,100.1,2.03873598369011,2.01823197498575
199802,,99.8,1.83673469387755,1.82007046468464
199803,,100.1,1.83112919633774,1.81456591680541
199804,,100.3,0.0998003992015911,0.0997506317125338
199805,,100.3,0,0
199806,,100.3,0,0
199807,,100,-0.0999000999000942,-0.0999500333083499
199808,,99.9,-0.0999999999999943,-0.100050033358342
199809,,100.3,-0.39721946375373,-0.398010475662681
199810,,100.4,-0.396825396825388,-0.397614837963929
199811,,100.4,-0.29791459781529,-0.298359246688771
199812,,100.3,-0.298210735586478,-0.298656269774897
199901,,100,-0.0999000999000942,-0.0999500333083499
199902,,99.7,-0.100200400801598,-0.100250634962559
199903,,100,-0.0999000999000942,-0.0999500333083499
199904,,100.3,0,0
199905,,100.3,0,0
199906,,100.3,0,0
199907,,100,0,0
199908,,99.9,0,0
199909,,100.3,0,0
199910,,100.3,-0.0996015936255065,-0.0996512289739085
199911,,100.3,-0.0996015936255065,-0.0996512289739085
199912,,100.3,0,0
200001,,99.8,-0.200000000000003,-0.200200267067308
200002,,99.6,-0.100300902708133,-0.100351237724013
200003,,99.8,-0.200000000000003,-0.200200267067308
200004,,100,-0.299102691924225,-0.299550897979845
200005,,100.2,-0.0997008973080701,-0.0997506317125414
200006,,100,-0.299102691924225,-0.299550897979845
200007,,99.8,-0.200000000000003,-0.200200267067308
200008,,99.9,0,0
200009,,99.8,-0.498504486540379,-0.499751165047151
200010,,99.6,-0.697906281156533,-0.700353037733735
200011,,99.6,-0.697906281156533,-0.700353037733735
200012,,99.6,-0.697906281156533,-0.700353037733735
200101,,99,-0.801603206412823,-0.804833318282837
200102,,98.8,-0.80321285140562,-0.806455983673041
200103,,98.9,-0.90180360721442,-0.905894468875181
200104,,99.2,-0.799999999999997,-0.803217169726427
200105,,99.2,-0.998003992015968,-1.00301743599374
200106,,99.1,-0.900000000000006,-0.904074465214907
200107,,98.9,-0.90180360721442,-0.905894468875181
200108,,99,-0.900900900900907,-0.904983551991793
200109,,99,-0.801603206412823,-0.804833318282837
200110,,98.9,-0.702811244979908,-0.705292596188598
200111,,98.8,-0.80321285140562,-0.806455983673041
200112,,98.7,-0.903614457831317,-0.907721815111654
200201,,98.2,-0.808080808080805,-0.811363477416966
200202,,98,-0.809716599190281,-0.813012608325018
200203,,98.2,-0.707785642062693,-0.71030232682463
200204,,98.3,-0.907258064516135,-0.911398713770632
200205,,98.4,-0.806451612903223,-0.809721023261936
200206,,98.3,-0.807265388496465,-0.810541418282145
200207,,98.1,-0.808897876643085,-0.812187205734918
200208,,98.1,-0.909090909090915,-0.913248356327259
200209,,98.1,-0.909090909090915,-0.913248356327259
200210,,98,-0.910010111223464,-0.914175995809451
200211,,98,-0.809716599190281,-0.813012608325018
200212,,98,-0.709219858156031,-0.711746776886399
200301,,97.4,-0.81466395112016,-0.818000471193081
200302,,97.3,-0.714285714285717,-0.716848947861252
200303,,97.6,-0.610997963340131,-0.61287219413735
200304,,97.9,-0.406917599186156,-0.407747761665604
200305,,98,-0.406504065040656,-0.40733253876359
200306,,97.9,-0.406917599186156,-0.407747761665604
200307,,97.9,-0.203873598369,-0.204081703485256
200308,,98,-0.1019367991845,-0.101988790074541
200309,,98,-0.1019367991845,-0.101988790074541
200310,,98.1,0.102040816326525,0.101988790074538
200311,,97.9,-0.102040816326525,-0.102092913410712
200312,,98,0,0
200401,,97.3,-0.102669404517463,-0.102722145653014
200402,,97.3,0,0
200403,,97.5,-0.102459016393437,-0.10251154152453
200404,,97.7,-0.204290091930544,-0.204499048772771
200405,,97.7,-0.306122448979589,-0.306591962183479
200406,,97.8,-0.102145045965279,-0.102197249569308
200407,,97.7,-0.204290091930544,-0.204499048772771
200408,,97.8,-0.204081632653064,-0.204290162980029
200409,,98,0,0
200410,,98,-0.1019367991845,-0.101988790074541
200411,,97.7,-0.204290091930544,-0.204499048772771
200412,,97.8,-0.204081632653064,-0.204290162980029
200501,,97.4,0.102774922918817,0.102722145653009
200502,,97.1,-0.205549845837619,-0.205761389468015
200503,,97.4,-0.102564102564097,-0.102616735531201
200504,,97.7,0,0
200505,,97.8,0.102354145342881,0.102301799203449
200506,,97.6,-0.204498977505115,-0.204708362172491
200507,,97.5,-0.204708290685776,-0.204918104493557
200508,,97.6,-0.204498977505115,-0.204708362172491
200509,,97.8,-0.204081632653064,-0.204290162980029
200510,,97.9,-0.102040816326525,-0.102092913410712
200511,,97.6,-0.102354145342895,-0.102406562969037
200512,,97.6,-0.204498977505115,-0.204708362172491
200601,,97.3,-0.102669404517463,-0.102722145653014
200602,,97.1,0,0
200603,,97.5,0.102669404517448,0.102616735531195
200604,,97.6,-0.102354145342895,-0.102406562969037
200605,,97.8,0,0
200606,,97.8,0.204918032786888,0.204708362172482
200607,,97.7,0.205128205128208,0.204918104493565
200608,,97.9,0.30737704918034,0.306905611741797
200609,,98,0.204498977505115,0.204290162980033
200610,,98,0.102145045965265,0.102092913410714
200611,,97.8,0.204918032786888,0.204708362172482
200612,,97.7,0.102459016393451,0.102406562969035
200701,,97.3,0,0
200702,,97,-0.102986611740468,-0.10303967938963
200703,,97.2,-0.307692307692305,-0.308166653740811
200704,,97.5,-0.102459016393437,-0.10251154152453
200705,,97.7,-0.10224948875255,-0.102301799203451
200706,,97.7,-0.10224948875255,-0.102301799203451
200707,,97.6,-0.102354145342895,-0.102406562969037
200708,,97.8,-0.102145045965279,-0.102197249569308
200709,,97.9,-0.102040816326525,-0.102092913410712
200710,,98.1,0.102040816326525,0.101988790074538
200711,,98.2,0.408997955010231,0.408163831964868
200712,,98.4,0.716479017400208,0.713924500947081
200801,,98.1,0.82219938335046,0.818837737935803
200802,,98,1.03092783505155,1.02565001671891
200803,,98.3,1.13168724279835,1.12533156867275
200804,,98.3,0.820512820512818,0.817164914931926
200805,,99.1,1.4329580348004,1.42278822872051
200806,,99.5,1.84237461617195,1.82560851158101
200807,,99.9,2.35655737704919,2.32921922354611
200808,,100.1,2.35173824130879,2.32451092804032
200809,,100.1,2.24719101123594,2.222313678471
200810,,99.9,1.83486238532111,1.81823190831905
200811,,99.1,0.916496945010175,0.912322597552197
200812,,98.6,0.203252032520314,0.203045755038192
200901,,98.1,0,0
200902,,98,0,0
200903,,98.2,-0.101729399796535,-0.10178117927006
200904,,98.2,-0.101729399796535,-0.10178117927006
200905,,98.1,-1.00908173562059,-1.01420747646249
200906,,97.9,-1.60804020100502,-1.62110946280824
200907,,97.7,-2.20220220220221,-2.22681266057708
200908,,97.7,-2.39760239760239,-2.42681272724378
200909,,97.8,-2.2977022977023,-2.32451092804033
200910,,97.7,-2.20220220220221,-2.22681266057708
200911,,97.5,-1.61453077699293,-1.62770633321407
200912,,97.4,-1.21703853955374,-1.22450509601002
201001,,97.1,-1.01936799184506,-1.02459912740382
201002,,97.1,-0.918367346938781,-0.92261033732928
201003,,97.3,-0.916496945010189,-0.920722616846092
201004,,97.1,-1.12016293279023,-1.12648400631411
201005,,97.1,-1.01936799184506,-1.02459912740382
201006,,97,-0.919305413687442,-0.923557103308195
201007,,96.6,-1.12589559877176,-1.13228178302649
201008,,96.6,-1.12589559877176,-1.13228178302649
201009,,96.6,-1.22699386503068,-1.23458358222994
201010,,96.9,-0.818833162743088,-0.822204015201653
201011,,96.7,-0.820512820512818,-0.823897554455285
201012,,96.6,-0.821355236139642,-0.824746943001723
201101,,96.3,-0.823892893923787,-0.827305649319929
201102,,96.3,-0.823892893923787,-0.827305649319929
201103,,96.6,-0.719424460431658,-0.722024797348713
201104,,96.9,-0.205973223480936,-0.206185640055858
201105,,97,-0.102986611740468,-0.10303967938963
201106,,96.7,-0.309278350515461,-0.309757604413417
201107,,96.7,0.103519668737069,0.103466124077646
201108,,96.8,0.207039337474123,0.206825306405906
201109,,96.8,0.207039337474123,0.206825306405906
201110,,96.7,-0.206398348813212,-0.206611643747189
201111,,96.5,-0.20682523267839,-0.20703941143084
201112,,96.5,-0.103519668737054,-0.103573287353198
201201,,96.2,-0.10384215991692,-0.103896113241903
201202,,96.4,0.103842159916935,0.103788281242024
201203,,96.8,0.207039337474123,0.206825306405906
201204,,97.1,0.206398348813198,0.206185640055856
201205,,96.9,-0.103092783505149,-0.103145960666227
201206,,96.5,-0.20682523267839,-0.20703941143084
201207,,96.4,-0.310237849017577,-0.310720084274872
201208,,96.5,-0.309917355371898,-0.310398593759111
201209,,96.7,-0.103305785123961,-0.103359182328266
201210,,96.7,0,0
201211,,96.4,-0.103626943005175,-0.103680672844025
201212,,96.3,-0.207253886010366,-0.207468954086036
201301,,96,-0.207900207900211,-0.208116620382462
201302,,96.1,-0.311203319502086,-0.311688564025322
201303,,96.4,-0.413223140495859,-0.414079266603128
201304,,96.7,-0.411946446961886,-0.41279728380305
201305,,96.9,0,0
201306,,96.9,0.414507772020731,0.413651055178028
201307,,97,0.622406639004143,0.620477688688287
201308,,97.3,0.829015544041448,0.825598084701908
201309,,97.4,0.723888314374357,0.721280818924078
201310,,97.6,0.930713547052732,0.926409095979817
201311,,97.5,1.14107883817427,1.13461763873015
201312,,97.5,1.24610591900312,1.23840591997216
201401,,97.2,1.25,1.24225199985571
201402,,97.3,1.24869927159209,1.24096732157127
201403,,97.7,1.34854771784232,1.33953574322371
201404,,99.8,3.20579110651499,3.15547808581697
201405,,100.1,3.30237358101134,3.24901674244542
201406,,100.1,3.30237358101134,3.24901674244542
201407,,100.3,3.4020618556701,3.34547164645069
201408,,100.3,3.08324768756423,3.03667057759304
201409,,100.3,2.97741273100615,2.93394843194004
201410,,100.4,2.86885245901641,2.82847138385821
201411,,100.1,2.66666666666666,2.63173083173734
201412,,100,2.56410256410256,2.53178079842898
201501,,99.5,2.36625514403292,2.33869326981537
201502,,99.4,2.15827338129497,2.13531244705691
201503,,99.8,2.14943705220061,2.12666242686812
201504,,100.2,0.400801603206419,0.400000533334614
201505,,100.3,0.199800199800203,0.199600864671488
201506,,100.2,0.0999000999001084,0.09985023295896
201507,,100.1,-0.199401794616154,-0.199600864671493
201508,,100.1,-0.199401794616154,-0.199600864671493
201509,,100.1,-0.199401794616154,-0.199600864671493
201510,,100.1,-0.298804780876505,-0.299252093645403
201511,,100.1,0,0
201512,,100,0,0
201601,,99.5,0,0
201602,,99.4,0,0
201603,,99.5,-0.300601202404807,-0.301053915287115
201604,,99.8,-0.399201596806393,-0.400000533334624
201605,,99.9,-0.398803589232295,-0.399600931338198
201606,,99.8,-0.399201596806393,-0.400000533334624
201607,,99.6,-0.4995004995005,-0.500752173062241
